"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"256","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.5",0.5016,0.0016
"257","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.75",0.69,-0.06
"258","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.9",0.816800000000001,-0.0832
"259","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","ML","0.95",0.8816,-0.0684
"260","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.05",0.0192,-0.0308
"261","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.1",0.0416,-0.0584
"262","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.25",0.1552,-0.0948
"263","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.5",0.5036,0.0036
"264","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.75",0.862,0.112
"265","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.9",0.9552,0.0552
"266","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","PM","0.95",0.9768,0.0268
"267","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.05",0.052,0.002
"268","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.1",0.0924,-0.0076
"269","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.25",0.2384,-0.0116
"270","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.5",0.5032,0.0032
"271","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.75",0.7752,0.0252
"272","Gaussian","N = 25","ICC = 0.5","R = 1","Gaussian","CB","0.9",0.9104,0.0104
